"Consumption Type","No of Connections","Consumption ML","Water accounted %","Demand,Lakhs","Revenue share%","Revenue yield,per ML"
"Domestic","740,000","16,992","44.67","4,718","53.98","0.28"
"Non Domestic","42,100","1,623","3.84","1,961","22.44","1.21"
"Partial Non Domestic","36,300","2,194","5.2","1,291","14.78","0.59"
"Industries, BIAL, and others","2641","618","1.56","715","8.18","1.16"
"Sanitary Connections","49,100","0","0","54","0.62","-"
"Total","870,141","21,427","50.75","8,740","100","0.41"
"Total Water Receipts","","42,223","","","",""
"Gap","","20,796","","","",""
"NRW%","","49.25","49.25","","",""
"","","","100","","",""
